candidate_id,rank,score,reasoning
CAND_0084819,52,0.628243,"4-yr Search Engineer; partial match — owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; Indore-based. Limitation: notice period 120d."
CAND_0011162,53,0.626302,"Recommendation Systems Engineer, 6 yrs; adjacent fit — trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM; clear NLP/IR focus."
CAND_0005260,54,0.624840,Senior NLP Engineer (5 yrs); below the ideal bar but in range — built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product; product-company track record.
CAND_0039754,55,0.624461,Senior Applied Scientist (16 yrs); below the ideal bar but in range — owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items; product-company track record.
CAND_0044855,56,0.624360,"Senior Data Scientist, 7 yrs; adjacent fit — built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking; evidence-backed Information Retrieval."
CAND_0043860,57,0.621601,"6-yr Junior ML Engineer; partial match — built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production; 81% recruiter response."
CAND_0053695,58,0.621141,Recommendation Systems Engineer (6 yrs); below the ideal bar but in range — trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM; product-company track record.
CAND_0095528,59,0.618545,"Senior Data Scientist, 5 yrs; adjacent fit — built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking; saved by 25 recruiters this month."
CAND_0057563,60,0.617921,"NLP Engineer, 7 yrs; adjacent fit — owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; evidence-backed OpenSearch."
CAND_0065878,61,0.615372,"Senior Data Scientist (8 yrs); below the ideal bar but in range — owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; saved by 25 recruiters this month."
CAND_0031593,62,0.612375,"8-yr Search Engineer; partial match — owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; evidence-backed Embeddings."
CAND_0054394,63,0.608800,Recommendation Systems Engineer (4 yrs); below the ideal bar but in range — developed a semantic search feature for an internal knowledge base of ~500K documents; 64% recruiter response.
CAND_0064904,64,0.608058,"AI Engineer, 5 yrs; adjacent fit — built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking; product-company track record."
CAND_0086151,65,0.607027,"8-yr Recommendation Systems Engineer; partial match — owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; evidence-backed Qdrant. Limitation: notice period 120d."
CAND_0042506,66,0.606630,"Search Engineer, 4 yrs; adjacent fit — built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking; clear NLP/IR focus."
CAND_0024466,67,0.605842,"Search Engineer (5 yrs); below the ideal bar but in range — owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; clear NLP/IR focus. Limitation: notice period 120d."
CAND_0061655,68,0.605438,"Machine Learning Engineer, 5 yrs; adjacent fit — owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; product-company track record."
CAND_0026532,69,0.605305,5-yr Recommendation Systems Engineer; partial match — developed a semantic search feature for an internal knowledge base of ~500K documents; product-company track record.
CAND_0052682,70,0.604849,"NLP Engineer, 7 yrs; adjacent fit — built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking; product-company track record."
CAND_0049538,71,0.599563,"Applied ML Engineer, 6 yrs; adjacent fit — owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; 72% recruiter response."
CAND_0036437,72,0.599056,"Search Engineer, 5 yrs; adjacent fit — owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; product-company track record."
CAND_0066999,73,0.597191,"6-yr Recommendation Systems Engineer; partial match — owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; 63% recruiter response."
CAND_0030348,74,0.596708,4-yr Machine Learning Engineer; partial match — developed a semantic search feature for an internal knowledge base of ~500K documents; product-company track record.
CAND_0081053,75,0.593129,"NLP Engineer, 5 yrs; adjacent fit — built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking; clear NLP/IR focus."
CAND_0006567,76,0.589607,8-yr Senior AI Engineer; partial match — shipped the personalization infrastructure: the system that learns from user behavior and improves relevance over time; product-company track record.
CAND_0047721,77,0.587305,7-yr Senior Data Scientist; partial match — built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking; evidence-backed Qdrant.
CAND_0074225,78,0.586287,"Machine Learning Engineer, 4 yrs; adjacent fit — trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM; Vizag-based. Limitation: notice period 120d."
CAND_0051630,79,0.585719,"6-yr Machine Learning Engineer; partial match — owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; Kolkata-based."
CAND_0058688,80,0.584835,"AI Engineer, 7 yrs; adjacent fit — built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking; open to relocation."
CAND_0051615,81,0.582615,"5-yr Search Engineer; partial match — owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; product-company track record."
CAND_0096172,82,0.580401,NLP Engineer (5 yrs); below the ideal bar but in range — developed a semantic search feature for an internal knowledge base of ~500K documents; Chennai-based.
CAND_0024620,83,0.578717,"AI Engineer, 6 yrs; adjacent fit — owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; saved by 27 recruiters this month."
CAND_0079284,84,0.578111,5-yr Machine Learning Engineer; partial match — trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM; Hyderabad-based.
CAND_0009691,85,0.576455,Applied ML Engineer (6 yrs); below the ideal bar but in range — built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking; Indore-based. Limitation: notice period 120d.
CAND_0068932,86,0.576369,"ML Engineer (5 yrs); below the ideal bar but in range — built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production; product-company track record."
CAND_0007460,87,0.576000,"AI Engineer, 5 yrs; adjacent fit — owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; clear NLP/IR focus. Limitation: notice period 120d."
CAND_0028287,88,0.572038,6-yr Data Scientist; partial match — evidence-backed OpenSearch; clear NLP/IR focus.
CAND_0061257,89,0.571604,8-yr Staff Machine Learning Engineer; partial match — career history shows hands-on ranking/retrieval delivery; 87% recruiter response.
CAND_0016659,90,0.570537,4-yr ML Engineer; partial match — built NLP pipelines for sentiment analysis and document classification — primarily for an internal feedback-analytics dashboard; clear NLP/IR focus.
CAND_0043228,91,0.569409,"Applied ML Engineer (7 yrs); below the ideal bar but in range — owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; saved by 65 recruiters this month."
CAND_0010603,92,0.569114,"ML Engineer (5 yrs); below the ideal bar but in range — built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production; Bangalore-based."
CAND_0076251,93,0.569089,8-yr Search Engineer; partial match — developed a semantic search feature for an internal knowledge base of ~500K documents; evidence-backed Learning to Rank.
CAND_0091909,94,0.568652,Machine Learning Engineer (7 yrs); below the ideal bar but in range — built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking; product-company track record.
CAND_0073883,95,0.566819,"AI Specialist, 5 yrs; adjacent fit — built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production; 92% recruiter response."
CAND_0009024,96,0.563629,5-yr Search Engineer; partial match — built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking; Chennai-based.
CAND_0069905,97,0.563563,"Applied ML Engineer, 7 yrs; adjacent fit — developed a semantic search feature for an internal knowledge base of ~500K documents; 78% recruiter response."
CAND_0040117,98,0.562916,Recommendation Systems Engineer (6 yrs); below the ideal bar but in range — built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking; product-company track record.
CAND_0004402,99,0.562824,"AI Research Engineer (6 yrs); below the ideal bar but in range — built recommendation-style features at a mid-stage startup — lighter weight than ranking systems at FAANG, but production; Delhi-based."
CAND_0008239,100,0.560614,"AI Engineer (4 yrs); below the ideal bar but in range — owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months; clear NLP/IR focus."
